id,download_count,gutenberg_id,media_type,title
346,9399,345,Text,Dracula
347,77,346,Text,"The Troll Garden, and Selected Stories"
348,47,347,Text,The Saga of Grettir the Strong: Grettir's Saga
350,74,349,Text,The Harvester
351,45,350,Text,Fanny Herself
352,548,351,Text,Of Human Bondage
353,38,352,Text,Buttered Side Down: Stories
354,121,353,Text,"In Flanders Fields, and Other Poems"
355,59,354,Text,The Story of a Pioneer
356,113,355,Text,The Parasite: A Story
357,49,356,Text,Beyond the City
358,34,357,Text,"A Dream of John Ball; and, A King's Lesson"
359,14,358,Text,The Scarlet Car
361,294,360,Text,What is Property? An Inquiry into the Principle of Right and of Government
362,35,361,Text,Miss Billy — Married
363,50,362,Text,Miss Billy's Decision
364,80,363,Text,The Oakdale Affair
365,103,364,Text,The Mad King
366,231,365,Text,The Land of Little Rain
367,40,366,Text,Bab: A Sub-Deb
368,208,367,Text,The Country of the Pointed Firs
369,116,368,Text,Acres of Diamonds: Our Every-day Opportunities
370,121,369,Text,The Outlaw of Torn
371,395,370,Text,The Fortunes and Misfortunes of the Famous Moll Flanders
372,8,371,Text,"Literary Blunders: A Chapter in the ""History of Human Error"""
373,51,372,Text,"Prince Otto, a Romance"
374,33,373,Text,"Lay Morals, and Other Papers"
375,104,374,Text,Fantastic Fables
376,2186,375,Text,An Occurrence at Owl Creek Bridge
377,750,376,Text,A Journal of the Plague Year: Written by a Citizen Who Continued All the While in London
378,17,377,Text,Kansas Women in Literature
379,45,378,Text,The White Knight: Tirant Lo Blanc
380,21,379,Text,Worldly Ways & Byways
381,42,380,Text,Weir of Hermiston: An Unfinished Romance
382,37,381,Text,Memories and Portraits
383,57,382,Text,Edinburgh: Picturesque Notes
384,819,383,Text,"She Stoops to Conquer; Or, The Mistakes of a Night: A Comedy"
385,126,384,Text,The Lost Prince
386,38,385,Text,"The Redheaded Outfield, and Other Baseball Stories"
387,36,386,Text,"Virginibus Puerisque, and Other Papers"
388,16,387,Text,"Vailima Letters: Being Correspondence Addressed by Robert Louis Stevenson to Sidney Colvin, November 1890-October 1894"
389,53,388,Text,The Crossing
390,1009,389,Text,The Great God Pan
391,19,390,Text,A Lute of Jade : Selections from the Classical Poets of China
392,310,391,Text,The Song of Roland
393,141,392,Text,Jerusalem Delivered
394,195,393,Text,The Blue Lagoon: A Romance
395,303,394,Text,Cranford
397,57,396,Text,"The Lady, or the Tiger?"
398,15,397,Text,"L'Allegro, Il Penseroso, Comus, and Lycidas"
399,517,398,Text,The First Book of Adam and Eve
400,37,399,Text,Cast Upon the Breakers
401,41,400,Text,"Helen of Troy, and Other Poems"
402,17,401,Text,Blix
403,105,402,Text,Penrod
404,26,403,Text,Soldiers of Fortune
405,55,404,Text,Industrial Biography: Iron Workers and Tool Makers
406,28,405,Text,Adventures and Letters of Richard Harding Davis
308,23,307,Text,"Three Elephant Power, and Other Stories"
409,4080,408,Text,The Souls of Black Folk
410,77,409,Text,"Poems on various subjects, religious and moral"
411,10,410,Text,Hell Fer Sartain and Other Stories
412,13,411,Text,The King's Jackal
413,38,412,Text,John Jacob Astor
414,17,413,Text,Ballads
415,10,414,Text,The Pageant of Summer
417,255,416,Text,"Winesburg, Ohio: A Group of Tales of Ohio Small Town Life"
418,67,417,Text,"Dr. Martin Luther's Deutsche Geistliche Lieder: The Hymns of Martin Luther Set to Their Original Melodies, With an English Version"
419,138,418,Text,A Treatise on Good Works
