id,birth_year,death_year,name
640,1850,1929,"Groner, Auguste"
641,1674,1711,"Lawson, John"
642,1865,1932,"Wolf, Emma"
643,1515,1568,"Ascham, Roger"
644,1874,1907,"McNeill, John Charles"
645,1831,1891,"Lytton, Edward Robert Bulwer Lytton, Earl of"
646,,1931,"Beck, L. Adams (Lily Adams)"
647,1840,1897,"Daudet, Alphonse"
648,1858,1919,"Roosevelt, Theodore"
649,1850,1924,"Lodge, Henry Cabot"
650,1882,1956,"Milne, A. A. (Alan Alexander)"
651,1862,1935,"Peattie, Elia Wilkinson"
652,1858,1908,"Molloy, J. Fitzgerald (Joseph Fitzgerald)"
653,1836,1921,"Whyte, Alexander"
654,1823,1915,"Fabre, Jean-Henri"
655,1872,1956,"Punshon, E. R. (Ernest Robertson)"
656,1865,1918,"Blanchan, Neltje"
657,1797,1858,"Pfeiffer, Ida"
658,1855,1928,"Weyman, Stanley John"
659,1892,1944,"Brand, Max"
660,1867,1952,"Long, William J. (William Joseph)"
661,,,"Cotton, William, F.S.A., of Exeter"
662,1755,1836,"Kilner, Dorothy"
